"Date Added","Voucher Code",Vendor,SKU,Title,Amount
2017-05-24,514616R,"Alfie (Incoming)",SRN-HTC-1133,"HTC Desire 610 LCD & Digitizer Assembly with Frame - Black",24.3900
2017-05-24,511156R,"DATAN INC",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",26.9900
2017-05-24,513336R,"Calvin LCT",APL-001-2311,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - Black",34.4900
2017-05-24,516934R,"Calvin LCT",APL-001-2091,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - Black (Premium)",29.9900
2017-05-24,510505R,"DATAN INC",APL-001-0732,"LCD and Touch Screen Digitizer Assembly for iPhone 5C (Economy Plus) - Black",11.9900
2017-05-24,516883R,"Alfie (Incoming)",APL-003-1615,"Front Camera Assembly for iPhone 6s",3.8900
2017-05-24,516701R,"DATAN INC",APL-001-0732,"LCD and Touch Screen Digitizer Assembly for iPhone 5C (Economy Plus) - Black",11.9900
2017-05-24,516316R,Laura,BT-BP-30074,"BinTEK iPhone 6 Plus 2915 mAH Li-Polymer Premium Battery",9.9900
2017-05-24,516286R,"Calvin LCT",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-24,514873R,"Alfie (Incoming)",APL-001-2048,,129.7900
2017-05-24,510493R-at,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-24,512620R,"SP Tech",APL-001-0728,"LCD and Touch Screen Digitizer Assembly for iPhone 5S (Economy Plus) - White",11.9900
2017-05-24,512293R,"Alfie (Incoming)",APL-001-2239,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - White (Premium) - Grade B",29.9900
2017-05-24,514146R,"Calvin LCT",APL-001-2090,"LCD and Touch Screen Digitizer Assembly for iPhone 5S SE - Black (Premium) ",22.9900
2017-05-24,513086R,,ACC-ZRT-451,"iPhone and iPad Side Wall Repair Repair Tool",99.9900
2017-05-24,514681R,"DATAN INC",APL-001-2092,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - White (Premium)",29.9900
2017-05-24,513796R-XU,"Alfie (Incoming)",APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",20.9900
2017-05-24,513796R-XU,"Alfie (Incoming)",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-24,513796R-np,Lanwell,APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",17.5000
