SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
ACC-ZED-566,"Samsung Galaxy S5 Tempered Glass Screen Protector",35,5,2.30,6.39,2.01,0.67,3.9900,1.9900,0.9900,0.00,0.00,,,,,,,
ACC-ZED-758,"LCD Polarizer for Samsung Galaxy S3",30,0,1.00,6.50,1.24,0.34,1.1900,0.7900,0.4900,14.58,,,0.00,,,,,
ACC-ZRT-451,"iPhone and iPad Side Wall Repair Repair Tool",5,0,380.00,6.30,4.44,61.02,149.9900,99.9900,76.2900,73.43,,,,,,,,
ACC-ZRT-489,"Front Glass Adhesive Replacement for Samsung Galaxy S7",131,64,2.00,6.39,2.01,0.63,1.9900,1.4900,0.7900,0.00,0.00,,,,,,,
ACC-ZRT-511,"LCD Bezel Frame Adhesive Tape for iPhone 7(4.7 inches) - Black",30,15,3.00,6.43,1.23,0.66,1.9900,,0.9900,1.19,2.49,0.85,,,,,,
APL-001-0006,"Digitizer Touch Screen Glass for iPhone 3G Black",8,0,15.00,6.12,2.02,2.78,6.2550,4.5900,1.9900,,,,,,,,0.00,
APL-001-0030,"Touch Screen Digitizer Glass for iPhone 3GS Black",4,0,20.00,6.85,0.69,3.02,4.9500,4.6900,1.4900,,,,,10.20,,,0.00,
APL-001-0036,"Touch Screen Digitizer Glass for iPhone 3GS White",1,0,0.00,0.00,0.00,0.00,4.9500,4.8900,1.4900,,,,,,,,0.00,
APL-001-0090,"LCD Screen for iPhone 3GS",31,2,0.00,0.00,0.00,0.00,15.9500,15.0900,2.9900,,11.49,,,13.36,,,0.00,
APL-001-0096,"LCD and Touch Screen Digitizer for ATT iPhone 4 Black",5,5,60.00,6.72,1.28,9.12,17.9500,12.9900,10.3900,10.46,0.00,0.00,0.00,14.44,0.00,0.00,0.00,11.00
APL-001-0098S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  Black",0,0,0.00,0.00,0.00,0.00,13.9900,20.9900,13.9900,,19.99,13.98,13.99,,,,,
APL-001-0102,"LCD and Touch Screen Digitizer for ATT iPhone 4 White",3,3,60.00,6.32,4.05,10.13,17.9500,10.8900,10.8900,10.73,14.49,0.00,0.00,14.44,0.00,0.00,0.00,11.00
APL-001-0104S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  White",3,0,0.00,0.00,0.00,0.00,22.9500,,0.0000,,,13.50,,,,,,
APL-001-0186,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 Black",1,1,60.00,6.26,1.44,9.81,17.9500,17.9500,10.3900,10.13,14.49,0.00,11.99,17.76,0.00,0.00,0.00,11.00
APL-001-0188S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 Black",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,13.4900,,19.49,13.50,,,,,,
APL-001-0192,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 White",10,2,60.00,6.72,1.28,9.12,17.9500,10.5900,10.5900,10.40,0.00,0.00,11.99,,0.00,0.00,0.00,11.00
APL-001-0194S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 White",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,11.9900,,,13.50,,,,,,
APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black",5,5,60.00,6.72,1.28,9.12,17.9500,17.9500,10.5900,10.29,0.00,0.00,13.99,14.02,9.95,0.00,0.00,14.99
APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",25,8,60.00,6.72,1.28,9.12,17.9500,17.9500,10.5900,10.29,14.49,0.00,13.99,0.00,0.00,0.00,0.00,14.99
APL-001-0284S,"LCD and Touch Screen Digitizer Full Set for iPhone 4S White",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,13.9900,,,13.50,,,,,,
APL-001-0402,"Touch Screen Digitizer for iPad 1 Black",0,0,70.00,6.12,3.11,11.95,18.5225,14.9900,14.9900,,19.49,,,,,,0.00,
APL-001-0408,"LCD Screen for iPad 1",0,0,200.00,6.60,7.58,31.45,52.8550,39.9900,39.9900,,36.49,,,0.00,,,0.00,34.99
APL-001-0410,"LCD and Touch Screen Digitizer for iPhone 5 - Black (Aftermarket Premium / Economy Plus)",108,69,8.00,1.00,0.00,8.00,16.9900,16.9900,10.2900,10.45,14.49,10.59,10.99,11.87,9.95,0.00,0.00,12.00
APL-001-0411,"LCD and Touch Screen Digitizer for iPhone 5 - White (Aftermarket Premium / Economy Plus)",64,69,8.00,1.00,0.00,8.00,16.9900,16.9900,10.2900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APL-001-0415,"Front Screen Glass for iPhone 5/5C/5S White",61,0,6.00,6.50,1.06,1.09,4.9900,2.5900,0.6900,1.10,7.99,0.80,0.00,0.00,,,0.00,3.99
APL-001-0418,"Front Screen Glass  for iPhone 5/5C/5S Black",9,0,6.00,6.85,1.23,1.06,4.9900,2.5900,0.6900,0.00,4.49,0.00,0.00,0.00,,,0.00,3.99
APL-001-0462,"LCD Screen for iPad 2",7,6,200.00,6.32,5.87,32.57,47.6900,47.6900,43.7900,42.14,46.49,39.99,47.99,0.00,0.00,0.00,0.00,44.99
APL-001-0504,"LCD Screen for iPad 3 4",6,10,155.00,6.72,5.06,23.82,39.9900,32.8900,32.8900,34.40,0.00,31.99,34.99,0.00,0.00,0.00,0.00,29.99
APL-001-0522,"LCD Screen for iPad Mini (Non-Retina)",14,8,150.00,6.72,1.28,22.51,59.9900,59.9900,33.6900,33.68,33.49,31.50,35.99,0.00,0.00,0.00,0.00,32.99
APL-001-0534,"Touch Screen Digitizer for iPod Touch 1",31,0,0.00,0.00,0.00,0.00,5.9500,5.7900,1.9900,,,0.00,,,,,,
APL-001-0564,"Touch Screen Digitizer for iPod Touch 3",37,0,0.00,0.00,0.00,0.00,5.9500,5.7900,1.9900,,,0.00,,0.00,,,,
APL-001-0576,"Touch Screen Glass Digitizer with Frame and Home Button for iPod Touch 3",4,0,20.00,6.43,7.42,4.26,8.0900,6.8900,0.9900,,,0.00,,,,,,
APL-001-0582,"LCD Screen for iPod Touch 3",5,0,25.00,6.32,2.19,4.30,7.9600,6.7900,3.9900,,,,,0.00,,,,
APL-001-0588,"LCD and Touch Screen Digitizer for iPod Touch 4 Black",9,3,65.00,6.72,1.28,9.86,19.9900,19.9900,12.1900,10.68,0.00,0.00,10.99,0.00,0.00,,,14.99
APL-001-0594,"LCD and Touch Screen Digitizer for iPod Touch 4 - White",3,2,65.00,6.72,1.28,9.86,19.9900,19.9900,12.1900,11.91,15.49,0.00,10.99,0.00,0.00,,,14.99
APL-001-0600,"LCD and Touch Screen Digitizer for iPod Touch 4 Baby Blue",0,1,70.00,6.32,2.19,11.42,19.9900,19.9900,12.1900,,,,13.99,,,,,
APL-001-0718,"LCD and Touch Screen Digitizer for iPod Touch 5 White",5,7,150.00,6.72,1.28,22.51,49.9900,49.9900,28.4900,18.95,27.49,22.99,31.99,0.00,0.00,,,34.99
APL-001-0728,"LCD and Touch Screen Digitizer for iPhone 5S SE - White (Aftermarket Premium / Economy Plus)",160,265,8.00,1.00,0.00,8.00,15.9900,15.9900,9.9900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00
APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S SE - Black (Aftermarket Premium / Economy Plus)",210,235,8.00,1.00,0.00,8.00,15.9900,15.9900,9.9900,10.04,0.00,21.99,0.00,11.87,9.95,0.00,0.00,12.00
APL-001-0732,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Aftermarket Premium / Economy Plus)",72,101,8.00,1.00,0.00,8.00,19.9900,19.9900,10.1900,0.00,0.00,0.00,13.99,0.00,0.00,0.00,,0.00
APL-001-0762,"LCD Screen with Retina Display for iPad Mini 2 3",3,17,300.00,6.65,6.50,46.09,99.9900,99.9900,49.9900,43.40,41.49,43.99,44.99,0.00,0.00,0.00,0.00,45.00
