SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
ACC-ZRT-314,"Phone Repair Spudger",12,4,1.00,6.58,2.89,0.59,1.9900,0.7900,0.9900,,2.49,,,,,,,
APL-002-0825,"Touch Screen Digitizer Frame Bezel for iPhone 5 Black",150,0,3.00,6.50,1.36,0.67,1.6800,1.4900,0.3900,,,,,1.77,,,,
APL-002-0827,"Touch Screen Digitizer Frame Bezel for iPhone 5 White",143,0,3.00,6.50,1.36,0.67,1.6800,1.4900,0.3900,,,,,1.77,,,,
APL-002-6424,"Front Bezel LCD Holder for iPhone 6 - White (Premium)",0,0,8.00,6.88,1.36,1.36,3.8200,3.0900,0.3900,,,,,5.73,,,,
APL-003-1154,"Metal Enclosures for iPhone 5 Black",5,0,5.00,6.78,0.73,0.85,2.6900,2.0900,0.0000,,,,4.99,,,,,
APL-003-1162,"Metal Enclosures for iPhone 5 Silver",4,0,3.00,6.50,1.05,0.62,1.6250,1.3900,0.0000,,,,2.99,,,,,
APL-003-1246,"FPC Battery Connector Clip for iPhone 4",13,0,2.00,6.50,1.41,0.52,2.9500,0.5900,0.4900,,,,3.99,,,,,
APL-003-1524,"Audio Flex Cable for iPod Nano 6 - White",0,0,0.00,0.00,0.00,0.00,1.9500,1.9900,1.7900,,4.99,,,2.19,,,,
APL-003-1652,"Loudspeaker Replacement for iPad Mini 1/2",4,0,9.00,6.88,4.11,1.91,3.1700,2.4900,0.0000,,,,,3.68,,,,
BKB-MOD-048,"Blackberry Bold 9000 Faceplate Cover Lens - Black",8,0,0.00,0.00,0.00,0.00,1.9500,1.9900,0.9900,,,,,5.74,,,,
BT-BP-30024,"BinTEK™ HTC Droid Incredible 4G LTE BTR6410B 1700mAH Li-Ion Premium Battery",0,0,0.00,0.00,0.00,0.00,7.9900,7.9900,4.9900,,,,,9.02,,,,
BT-BP-30080,"BinTEK™ Battery for Samsung Galaxy S5 Mini EB-BG800BBE 2100mAH Li-Ion Premium ",11,0,2.49,1.00,1.66,4.15,7.9900,7.9900,4.9900,,,,,8.80,,,,
BT-BP-30092,"BinTEK™ Motorola Razr XT910 Motorola Droid Razr XT912 EB20 1750mAH Li-Polymer Premium Battery",0,0,21.00,6.70,6.01,4.03,12.9900,12.9900,6.9900,,,,,,,,,14.99
BT-BP-30104,"BinTEK™ Nokia Lumia 635 630 636 638 BL-5H 1830mAH Li-Ion Premium Battery",20,0,20.00,6.70,6.01,3.88,7.9900,7.9900,5.9900,,,,,18.02,,,,
BT-BP-30106,"BinTEK™ HTC Desire 601 BM65100 2100mAH Li-Ion Premium Battery",6,0,4.20,1.00,2.12,6.32,12.9900,12.9900,0.9900,,,,,14.39,,,,
BTY-COV-1558,"Battery Door for Samsung Galaxy Note 2 N7105 - Gray",0,0,8.50,6.50,0.79,1.43,3.8400,3.0900,0.0000,,7.99,,,,,,,
BTY-COV-204,"Back Battery Door Cover for Samsung Galaxy Mega 6.3 – Black",0,0,9.00,6.88,6.02,2.18,3.7950,3.0900,0.0000,,,,,,,,,4.99
BTY-COV-370,"HTC ONE SV Back Battery Door Cover Red",8,0,0.00,0.00,0.00,0.00,4.9500,,0.4900,,,,,5.14,,,,
BTY-COV-376,"Motorola MOTO X XT1060 Midframe Housing Lower",3,0,0.00,0.00,0.00,0.00,7.9500,,0.4900,,,,,10.41,,,,
BTY-HTC-006,"HTC Amaze 4G BG86100 Replacement Battery",0,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,7.19,,,,
BTY-HTC-036,"HTC Desire S Freestyle BB96100 Replacement Battery",37,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,7.19,,,,
BTY-HTC-042,"HTC Hero S BH11100 Replacement Battery",1,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,9.02,,,,
